aX,aY,aZ,gX,gY,gZ
0.075,0.139,-0.973,-10.437,5.676,-0.244
0.086,0.120,-0.974,-12.085,6.226,-0.977
0.078,0.110,-0.965,-16.724,10.010,-1.343
0.063,0.121,-0.961,-19.653,10.132,-0.977
0.067,0.125,-0.957,-24.597,7.935,-2.014
0.087,0.104,-0.944,-24.658,8.850,-3.784
0.089,0.091,-0.949,-23.315,11.353,-5.676
0.057,0.069,-0.979,-19.104,15.015,-7.751
0.045,0.069,-0.990,-18.005,14.771,-6.897
0.041,0.068,-0.991,-21.790,13.062,-3.418
0.043,0.052,-0.983,-24.170,13.367,-2.441
0.034,0.039,-0.989,-21.484,16.785,-4.028
0.004,0.018,-1.004,-16.296,17.517,-4.822
-0.001,0.020,-1.003,-4.578,15.930,-3.479
0.003,0.053,-1.000,-0.854,14.771,-2.197
-0.001,0.070,-1.000,-3.601,10.803,0.305
-0.007,0.074,-0.988,-8.362,7.996,0.793
-0.005,0.066,-0.984,-12.817,3.601,-1.038
0.008,0.057,-0.979,-10.315,4.517,-1.770
0.007,0.063,-0.981,-5.920,8.118,-2.197
-0.015,0.083,-0.996,-0.488,15.686,-2.563
-0.022,0.092,-1.006,-2.075,15.991,-2.014
-0.021,0.092,-1.013,-10.620,10.986,-2.502
-0.014,0.059,-1.006,-13.123,8.850,-3.906
-0.013,0.049,-1.005,-11.108,9.399,-4.883
-0.014,0.051,-1.015,-10.071,10.803,-4.700
-0.018,0.048,-1.015,-10.437,12.146,-4.700
-0.025,0.032,-1.004,-9.583,11.841,-4.333
-0.022,0.028,-1.002,-5.676,10.620,-3.845
-0.023,0.023,-1.014,-4.578,9.827,-4.272
-0.026,0.017,-1.023,-5.188,7.751,-4.517
-0.028,-0.003,-1.026,-5.859,7.324,-3.967
-0.030,-0.008,-1.025,-5.859,7.385,-3.174
-0.032,0.000,-1.030,-5.371,6.287,-1.221
-0.032,0.004,-1.030,-5.188,4.578,-0.366
-0.034,0.006,-1.028,-4.028,0.793,0.977
-0.039,0.009,-1.025,-3.235,-0.610,1.282
-0.040,0.013,-1.026,-1.038,-2.563,0.793
-0.031,0.020,-1.027,-0.061,-2.991,0.488
-0.028,0.021,-1.026,1.221,-2.441,0.549
-0.033,0.025,-1.017,1.282,-2.319,0.977
-0.035,0.026,-1.011,1.221,-2.502,1.099
-0.029,0.030,-1.008,1.465,-3.052,0.671
-0.021,0.032,-1.007,1.404,-3.784,-0.061
-0.014,0.025,-1.006,0.366,-1.953,-0.305
-0.021,0.013,-1.008,-1.099,0.854,-0.244

0.643,0.606,1.506,-228.027,29.663,253.113
0.600,0.833,1.439,-238.464,189.148,220.825
0.647,1.271,1.149,-225.281,261.292,204.041
0.668,1.353,0.950,-178.589,371.277,158.691
0.576,1.370,0.468,-155.884,402.222,109.802
0.479,1.315,0.203,-126.099,410.034,44.800
0.432,1.112,-0.241,-38.208,365.112,-81.543
0.502,0.941,-0.443,8.606,328.430,-129.272
0.614,0.786,-0.654,107.300,260.498,-209.717
0.828,0.609,-0.937,147.217,235.596,-247.314
0.782,0.533,-0.981,170.349,204.590,-267.883
0.562,0.235,-1.127,158.447,182.739,-222.778
0.601,0.048,-1.137,83.252,82.520,-104.248
0.746,-0.205,-0.895,59.937,22.705,-86.060
0.847,-0.224,-0.836,81.543,-39.368,-104.187
0.984,-0.198,-0.851,90.210,-33.630,-102.112
0.936,-0.235,-0.801,82.336,-12.817,-86.975
0.837,-0.290,-0.724,50.110,23.865,-49.377
0.670,-0.289,-0.597,35.645,22.583,-32.715
0.678,-0.246,-0.546,-1.221,-8.972,-1.648
0.766,-0.252,-0.418,-16.907,-23.071,8.118
0.769,-0.276,-0.329,-20.386,-31.677,19.531
0.749,-0.279,-0.171,-12.268,-27.283,27.344
0.723,-0.233,-0.140,-0.977,-9.460,50.903
0.684,-0.104,-0.111,-10.803,-0.305,65.186
0.705,-0.061,-0.108,-56.396,21.973,86.182
0.754,-0.066,-0.133,-83.069,35.034,90.637
0.752,-0.116,-0.138,-119.324,57.251,100.769
0.680,-0.198,-0.124,-122.620,64.758,109.741
0.667,-0.185,-0.115,-117.920,68.848,120.239
0.687,-0.154,-0.101,-91.797,71.655,136.353
0.742,-0.039,-0.141,-70.923,80.444,140.991
0.734,0.063,-0.238,-44.128,122.375,143.372
0.615,0.243,-0.435,-51.392,143.005,143.799
0.555,0.281,-0.481,-90.393,164.673,153.687
0.501,0.358,-0.538,-108.887,168.335,163.269
0.524,0.404,-0.590,-136.047,167.358,170.654
0.526,0.451,-0.684,-134.399,163.940,158.203
0.475,0.490,-0.720,-94.116,158.630,119.263
0.349,0.643,-0.822,-74.280,159.851,105.041
0.329,0.729,-0.899,-69.153,162.720,96.375
0.337,0.756,-0.966,-112.183,167.419,85.449
0.368,0.598,-1.011,-138.855,171.326,78.064
0.343,0.489,-1.023,-140.198,183.838,55.786
0.223,0.339,-1.066,-112.793,186.218,40.466
0.163,0.313,-1.106,-39.978,178.040,12.024
0.074,0.364,-1.233,-13.123,171.082,4.272
0.039,0.412,-1.289,-7.324,156.921,2.686
-0.024,0.494,-1.331,-28.381,148.193,5.615
-0.022,0.479,-1.316,-60.181,137.207,9.094
0.001,0.404,-1.280,-118.225,112.427,10.376
0.014,0.198,-1.209,-127.808,101.379,6.226
-0.002,0.114,-1.203,-104.431,75.867,-8.423
-0.033,0.019,-1.200,-79.712,60.669,-14.160
-0.036,0.023,-1.182,-31.860,37.659,-16.907
-0.017,0.082,-1.138,-18.921,34.485,-16.846
-0.016,0.100,-1.134,-18.555,41.321,-17.029
-0.038,0.095,-1.121,-25.024,45.837,-15.808
-0.047,0.079,-1.100,-34.729,45.715,-13.733
-0.062,0.034,-1.051,-33.691,41.138,-13.794
-0.063,0.021,-1.041,-21.057,26.672,-10.315
-0.035,0.030,-1.055,-14.832,20.630,-7.263
-0.031,0.036,-1.062,-12.268,18.127,-5.310
-0.041,0.035,-1.062,-14.404,22.156,-3.418
-0.070,0.031,-1.056,-15.320,24.475,-2.136
-0.079,0.037,-1.049,-12.146,23.071,0.488
-0.091,0.070,-1.038,-8.545,19.531,1.526
-0.082,0.091,-1.040,-5.188,8.362,1.831
-0.047,0.094,-1.033,-7.141,4.333,0.549
-0.043,0.073,-1.026,-10.681,5.859,-3.174
-0.053,0.034,-1.011,-8.911,8.606,-4.456
-0.055,0.034,-1.010,0.183,10.559,-5.737
-0.063,0.074,-1.009,4.639,9.705,-6.653
-0.073,0.098,-1.014,7.568,8.057,-8.179
-0.091,0.110,-1.037,6.165,0.122,-12.695
-0.086,0.094,-1.042,2.869,-5.066,-13.611
-0.077,0.073,-1.039,-2.014,-9.338,-10.010
-0.057,0.043,-1.022,-2.380,-7.935,-6.897
-0.048,0.039,-1.016,-0.488,-2.441,-3.723
-0.044,0.045,-1.010,1.160,0.183,-3.662
-0.053,0.052,-1.010,4.761,3.601,-4.211
-0.078,0.073,-1.025,5.371,2.991,-4.456
-0.083,0.076,-1.029,3.479,-2.502,-4.761
-0.078,0.067,-1.014,2.319,-4.578,-4.028
-0.068,0.061,-1.004,1.038,-3.662,-2.014
-0.055,0.047,-0.996,1.221,-1.587,-1.953
-0.062,0.047,-0.999,4.028,1.404,-3.418
-0.078,0.059,-1.010,6.042,0.610,-5.066
-0.082,0.062,-1.011,8.301,-1.831,-6.897
-0.080,0.066,-1.013,12.695,-7.629,-8.179
-0.067,0.085,-1.018,13.123,-9.338,-7.812
-0.061,0.091,-1.017,7.080,-10.437,-7.141
-0.048,0.081,-1.007,3.235,-9.766,-6.714
-0.042,0.073,-1.000,0.366,-5.737,-6.042
-0.051,0.066,-1.000,1.587,-3.357,-6.042
-0.065,0.074,-1.011,3.967,-2.808,-5.066
-0.073,0.094,-1.027,2.991,-5.432,-4.395
-0.068,0.095,-1.025,-1.038,-12.756,-5.249
-0.048,0.082,-1.007,-1.831,-14.893,-6.226
-0.031,0.077,-1.004,-1.465,-13.184,-6.836
-0.012,0.063,-1.003,-0.610,-9.766,-6.653
-0.016,0.054,-1.008,0.427,-5.676,-6.287
-0.021,0.041,-1.019,0.488,-0.916,-3.296
-0.019,0.036,-1.017,0.122,-1.038,-1.221
-0.016,0.038,-1.012,0.854,-3.540,2.197
-0.014,0.058,-0.998,1.221,-4.517,3.296
-0.016,0.069,-0.994,1.526,-5.432,3.357
-0.015,0.085,-0.993,1.221,-5.371,3.174
-0.014,0.087,-0.992,0.427,-3.296,2.808
-0.019,0.084,-0.989,0.732,-1.465,2.380
-0.021,0.083,-0.990,2.136,0.854,2.075
-0.027,0.094,-0.999,2.197,0.793,2.197
-0.033,0.101,-1.003,0.427,-0.366,1.099
-0.045,0.107,-1.013,-0.549,-1.221,-0.122
-0.051,0.108,-1.017,-0.854,-2.686,-1.831
-0.056,0.102,-1.017,0.610,-6.836,-5.615
-0.050,0.095,-1.014,1.831,-8.179,-6.226
-0.040,0.089,-1.011,3.296,-7.202,-5.188
-0.025,0.073,-1.004,3.418,-5.737,-4.883

0.759,0.994,0.956,-293.152,-25.513,204.529
0.719,1.052,0.930,-287.781,76.843,180.237
0.737,1.280,0.807,-255.554,127.686,167.603
0.796,1.424,0.725,-177.429,215.027,136.841
0.883,1.560,0.509,-147.583,248.901,109.863
0.890,1.543,0.361,-122.559,271.240,68.420
0.860,1.471,0.207,-54.260,279.114,-38.269
0.808,1.297,-0.027,-7.568,273.865,-82.458
0.823,1.225,-0.081,95.825,268.005,-133.301
0.885,1.170,-0.249,148.193,270.691,-153.137
0.859,1.172,-0.397,230.713,272.400,-210.632
0.809,1.167,-0.827,248.291,269.165,-248.535
0.754,1.121,-1.003,234.741,247.437,-330.261
0.584,0.910,-1.239,202.942,227.844,-364.563
0.533,0.678,-1.340,160.461,208.008,-383.850
0.465,0.417,-1.410,78.003,156.921,-378.662
0.256,-0.121,-1.485,56.946,118.652,-360.046
0.219,-0.390,-1.493,51.636,13.855,-291.748
0.187,-0.792,-1.362,53.955,-45.410,-249.451
0.201,-0.902,-1.231,62.866,-140.259,-171.143
0.228,-0.909,-0.954,67.139,-167.541,-139.282
0.247,-0.854,-0.824,57.068,-193.481,-82.886
0.283,-0.749,-0.573,36.743,-197.144,-54.626
0.313,-0.703,-0.433,-33.447,-189.880,7.019
0.243,-0.620,-0.133,-71.472,-181.458,37.415
0.265,-0.578,-0.002,-134.399,-168.152,91.064
0.332,-0.494,0.219,-150.513,-164.490,116.455
0.370,-0.426,0.352,-154.663,-155.029,139.465
0.620,-0.323,0.588,-153.076,-105.164,167.419
0.663,-0.280,0.670,-149.597,-65.002,172.424
0.681,-0.230,0.698,-124.451,33.264,183.105
0.718,-0.089,0.635,-114.868,81.238,191.650
0.721,-0.008,0.587,-112.244,161.377,208.313
0.671,0.161,0.499,-115.112,193.054,211.121
0.639,0.225,0.446,-130.127,243.652,201.904
0.626,0.316,0.264,-136.597,266.785,193.787
0.650,0.356,0.126,-138.489,289.307,185.364
0.649,0.403,-0.159,-132.751,326.782,169.922
0.619,0.422,-0.273,-125.977,344.116,166.931
0.528,0.441,-0.376,-101.990,378.296,165.466
0.351,0.558,-0.671,-91.736,381.531,153.076
0.306,0.611,-0.827,-98.389,350.891,108.215
0.155,0.635,-1.151,-104.980,330.566,85.449
0.062,0.613,-1.321,-107.483,281.677,44.800
-0.033,0.495,-1.473,-99.304,251.221,33.325
-0.014,0.454,-1.460,-64.453,202.454,29.114
0.051,0.433,-1.413,-52.307,190.613,25.818
0.038,0.408,-1.392,-48.767,185.181,18.921
-0.004,0.377,-1.390,-57.556,177.002,5.432
-0.135,0.294,-1.417,-64.270,164.185,-0.061
-0.201,0.238,-1.411,-66.406,117.859,-5.249
-0.220,0.204,-1.384,-58.899,90.393,0.854
-0.203,0.241,-1.341,-34.546,52.429,14.526
-0.201,0.362,-1.282,-27.039,47.485,13.489
-0.208,0.377,-1.279,-30.701,49.072,2.319
-0.215,0.294,-1.244,-36.011,48.645,-1.526
-0.212,0.235,-1.208,-34.546,41.443,-3.723
-0.188,0.189,-1.156,-26.733,35.706,-1.953
-0.174,0.197,-1.127,-18.127,29.724,1.282
-0.153,0.232,-1.090,-7.935,19.836,4.395
-0.143,0.236,-1.080,-6.592,16.846,2.869
-0.133,0.228,-1.066,-6.348,14.221,-1.038
-0.100,0.197,-1.036,-6.714,14.038,-2.319
-0.090,0.184,-1.030,-8.179,12.085,-5.005
-0.086,0.159,-1.036,-9.033,8.606,-6.165
-0.083,0.138,-1.037,-7.690,1.648,-6.104
-0.075,0.120,-1.031,-5.371,0.671,-4.822
-0.072,0.124,-1.022,-2.319,1.038,-2.869
-0.071,0.132,-1.008,-0.671,0.732,-2.747
-0.066,0.140,-1.003,4.211,-2.197,-3.906
-0.043,0.151,-0.985,5.432,-3.540,-4.578
-0.032,0.152,-0.981,5.188,-3.601,-4.883
-0.039,0.151,-0.993,1.526,0.244,-5.005
-0.049,0.143,-1.000,-0.977,1.892,-5.249
-0.057,0.135,-1.010,-2.808,3.113,-3.235
-0.071,0.141,-1.031,-2.136,2.930,-1.221
-0.077,0.152,-1.035,-2.319,-0.366,1.648
-0.080,0.163,-1.024,-2.502,-3.113,1.648
-0.077,0.168,-1.016,0.366,-6.165,0.549
-0.078,0.188,-1.009,1.709,-5.615,0.183
-0.078,0.193,-1.005,-0.244,-4.211,-0.549
-0.080,0.188,-1.000,-2.075,-3.906,-0.671
-0.080,0.181,-1.001,-4.883,-3.174,0.244
-0.079,0.161,-0.997,-5.493,-2.625,0.549
-0.079,0.153,-0.989,-4.883,-2.502,0.671
-0.068,0.155,-0.987,-2.075,-4.333,0.366
-0.065,0.157,-0.986,-0.977,-5.066,-0.610
-0.067,0.156,-0.983,0.061,-4.089,-1.709
-0.068,0.152,-0.979,-0.183,-3.235,-1.221
-0.063,0.150,-0.976,-1.770,-2.258,-0.244
-0.047,0.145,-0.963,-2.686,-2.075,0.366
-0.040,0.145,-0.959,-4.578,-1.160,1.282
-0.041,0.147,-0.960,-5.127,-0.610,1.221
-0.043,0.144,-0.962,-4.700,-1.160,1.709
-0.046,0.143,-0.965,-3.906,-1.038,2.014
-0.046,0.147,-0.965,-1.709,1.587,1.343
-0.052,0.158,-0.966,-0.671,2.930,0.610
-0.054,0.161,-0.964,0.488,4.272,-0.488
-0.056,0.167,-0.964,0.549,5.249,-0.977
-0.057,0.169,-0.970,0.366,6.592,-1.404
-0.060,0.171,-0.977,0.000,8.545,-2.197
-0.066,0.169,-0.984,-0.244,8.728,-2.869
-0.067,0.167,-0.984,0.732,8.850,-5.188
-0.066,0.165,-0.987,2.319,9.094,-6.592
-0.069,0.168,-0.993,4.456,9.033,-8.484
-0.081,0.172,-1.015,3.052,7.996,-7.751
-0.085,0.167,-1.020,-3.601,3.113,-2.808
-0.076,0.159,-1.019,-6.531,0.305,-0.549
-0.068,0.155,-1.015,-8.667,-1.770,0.183
-0.066,0.143,-1.010,-7.446,-0.977,-0.244
-0.069,0.141,-1.010,-5.249,-0.061,-0.488
-0.071,0.144,-1.011,-1.404,-0.549,-0.732
-0.074,0.157,-1.006,-0.549,-1.160,-0.854
-0.074,0.163,-1.004,-0.916,-1.099,-0.916
-0.073,0.164,-1.000,-1.709,-0.793,-1.160
-0.074,0.160,-0.999,-2.197,-1.648,-1.709
-0.070,0.154,-0.994,-1.892,-2.441,-1.892
-0.065,0.152,-0.987,-1.953,-2.197,-1.892
-0.064,0.151,-0.978,-2.502,-1.099,-1.770

-0.219,0.720,-1.840,163.879,150.085,-341.858
-0.333,0.526,-1.771,132.324,115.356,-393.372
-0.264,0.084,-1.866,129.578,92.529,-360.962
-0.096,0.015,-1.850,148.804,-32.166,-203.064
0.033,-0.054,-1.406,154.297,-122.314,-136.230
0.083,-0.093,-1.118,127.869,-246.399,-83.618
0.375,-0.192,-0.599,109.253,-260.010,-75.867
0.458,-0.177,-0.456,88.440,-197.937,-51.880
0.584,-0.092,-0.356,71.899,-140.381,-29.236
0.564,-0.060,-0.366,36.499,-80.505,-4.028
0.518,-0.081,-0.354,-86.853,20.569,39.490
0.446,-0.264,-0.301,-148.499,53.955,59.326
0.450,-0.381,-0.264,-207.214,90.576,96.313
0.480,-0.522,-0.215,-198.486,100.525,109.985
0.485,-0.525,-0.245,-132.751,121.216,126.343
0.451,-0.409,-0.459,-91.431,133.728,133.301
0.392,-0.308,-0.610,-39.063,152.100,154.480
0.305,-0.062,-0.862,-36.926,153.625,166.199
0.279,0.084,-0.960,-61.646,155.090,178.101
0.150,0.424,-1.169,-77.271,160.828,174.377
0.070,0.552,-1.286,-91.003,164.185,161.133
0.016,0.593,-1.366,-106.934,140.076,111.511
-0.001,0.436,-1.395,-98.999,118.958,88.379
-0.016,0.368,-1.402,-39.978,91.797,67.566
-0.082,0.460,-1.487,-7.080,83.801,65.552
-0.099,0.572,-1.521,18.433,58.899,55.969
-0.062,0.673,-1.488,5.371,42.908,45.959
-0.020,0.591,-1.418,-35.095,17.517,24.353
0.038,0.338,-1.248,-42.480,8.972,16.174
0.050,0.254,-1.174,-22.583,-0.061,9.094
0.045,0.244,-1.098,-6.042,0.916,9.155
0.027,0.288,-1.106,6.897,5.615,9.705
0.000,0.327,-1.138,9.888,16.785,7.996
-0.049,0.323,-1.163,1.587,16.296,5.981
-0.047,0.293,-1.140,-14.771,-1.587,0.549
0.013,0.211,-1.041,-17.090,-13.367,-2.563
0.049,0.173,-0.990,-10.437,-19.897,-5.615
0.076,0.148,-0.946,-5.798,-12.756,-5.005
0.067,0.160,-0.947,-2.869,6.409,-1.892
0.039,0.185,-0.969,-4.700,12.207,-0.854
0.024,0.183,-0.982,-6.775,13.428,-1.099
0.024,0.160,-0.989,-9.644,5.066,-1.953
0.040,0.143,-0.984,-11.353,0.427,-1.343
0.051,0.128,-0.977,-13.855,-0.427,0.244
0.054,0.104,-0.981,-14.038,2.014,1.404
0.048,0.099,-0.988,-11.047,6.958,4.211
0.033,0.119,-1.005,-8.118,8.423,5.249
0.029,0.134,-1.016,-4.395,7.263,5.432
0.028,0.146,-1.027,-5.493,4.456,5.066
0.036,0.137,-1.016,-7.141,-1.892,4.700
0.049,0.129,-0.993,-4.822,-3.662,4.517
0.053,0.139,-0.988,-1.099,-4.333,4.333
0.056,0.154,-0.987,2.747,-2.380,4.883
0.054,0.171,-0.988,1.038,-0.305,5.371
0.048,0.166,-0.984,-4.028,3.052,5.737
0.044,0.155,-0.976,-4.578,3.906,5.798
0.045,0.158,-0.978,-2.380,4.944,5.066
0.034,0.166,-0.995,-1.099,5.127,4.517
0.025,0.170,-1.006,-0.793,3.601,3.723
0.010,0.170,-1.024,-2.258,2.197,2.808
0.010,0.162,-1.022,-3.723,1.160,2.014
0.016,0.156,-1.015,-3.479,0.427,1.404
0.032,0.151,-0.995,-2.625,0.671,1.221
0.034,0.148,-0.989,-1.343,1.831,0.366
0.029,0.136,-0.991,-1.709,2.258,-0.305
0.023,0.123,-0.998,-2.930,2.319,-1.343
0.022,0.105,-1.015,-2.625,1.526,-1.160
0.031,0.101,-1.017,-0.854,-1.404,-0.610
0.050,0.100,-1.009,0.122,-2.747,-0.061
0.057,0.105,-1.003,-0.061,-4.395,1.343
0.061,0.114,-0.990,-1.343,-5.127,1.831
0.060,0.115,-0.985,-2.319,-5.371,2.075
0.059,0.116,-0.984,-0.916,-3.784,2.075
0.055,0.130,-0.992,0.183,-2.808,2.197
0.052,0.135,-0.992,0.305,-1.404,2.869
0.049,0.140,-0.986,0.183,-0.732,3.296
0.044,0.146,-0.984,0.916,0.610,3.479
0.033,0.163,-0.987,0.977,0.793,3.235
0.030,0.169,-0.985,-0.610,0.305,2.441
0.028,0.176,-0.979,-1.648,-0.061,1.587
0.030,0.169,-0.977,-2.319,-0.183,0.549
0.030,0.156,-0.981,-1.953,0.366,-0.671
0.031,0.139,-0.998,-1.770,0.305,-0.244
0.036,0.135,-1.000,-3.601,-0.183,0.793
0.038,0.122,-0.992,-3.845,0.061,0.671
0.036,0.114,-0.992,-1.221,-0.305,-0.122
0.039,0.115,-1.000,0.122,-1.099,-0.427
0.046,0.116,-1.000,-0.488,-1.282,-0.671
0.052,0.106,-0.992,-1.648,-0.183,-0.610
0.052,0.101,-0.993,-3.479,2.747,0.549
0.049,0.095,-0.997,-4.211,3.601,1.099
0.048,0.096,-0.999,-4.517,3.723,1.526
0.047,0.102,-0.999,-3.845,2.869,2.136
0.043,0.121,-0.995,-3.235,2.747,2.075
0.039,0.131,-0.994,-2.319,3.967,1.770
0.035,0.138,-1.000,-2.441,4.272,1.648
0.034,0.135,-1.002,-2.625,3.906,1.709
0.029,0.131,-1.004,-2.563,3.479,2.075
0.024,0.134,-1.005,-2.991,1.709,2.136
0.022,0.142,-1.003,-3.418,1.099,1.587
0.025,0.142,-1.000,-3.845,1.099,1.160
0.030,0.137,-0.998,-4.517,2.014,0.916
0.029,0.126,-0.998,-4.578,2.136,0.671
0.025,0.118,-0.999,-2.991,1.465,-0.061
0.022,0.107,-1.006,-1.953,0.916,-0.427
0.023,0.107,-1.009,-1.831,0.122,-0.488
0.029,0.107,-1.008,-2.747,-0.244,-0.122
0.032,0.105,-1.003,-3.845,-0.244,0.061
0.033,0.101,-0.997,-3.174,0.183,0.000
0.034,0.102,-0.999,-1.648,1.160,0.000
0.038,0.099,-1.007,-1.465,1.709,0.000
0.037,0.099,-1.012,-1.587,2.380,0.183
0.034,0.101,-1.016,-1.831,3.296,0.671
0.018,0.113,-1.023,-1.770,3.113,0.732
0.011,0.119,-1.026,-3.296,0.122,1.282
0.016,0.117,-1.016,-4.639,-1.770,1.587
0.024,0.111,-1.004,-4.822,-2.563,1.221
0.034,0.107,-0.990,-3.784,-1.587,0.854
0.035,0.110,-0.991,-2.319,0.610,0.183

0.755,0.615,1.391,-191.833,148.926,228.821
0.878,0.814,1.291,-156.128,255.615,213.623
1.045,1.164,0.901,-125.122,306.885,196.777
1.058,1.268,0.650,-37.109,370.483,124.451
0.889,1.338,0.177,31.067,381.348,73.486
0.804,1.356,-0.075,119.507,379.211,19.653
0.819,1.438,-0.388,299.622,347.351,-92.224
0.914,1.605,-1.003,346.863,326.233,-145.752
0.866,1.558,-1.226,316.895,272.583,-238.098
0.673,1.146,-1.469,251.404,236.267,-279.053
0.639,0.818,-1.541,102.844,154.602,-326.294
0.568,0.126,-1.583,55.542,110.413,-315.674
0.603,-0.189,-1.509,36.011,15.259,-257.141
0.562,-0.567,-1.215,44.312,-33.447,-228.149
0.526,-0.606,-1.055,58.777,-78.308,-197.205
0.531,-0.601,-0.781,86.304,-142.639,-127.197
0.558,-0.587,-0.647,81.482,-160.767,-95.642
0.572,-0.573,-0.501,48.340,-169.800,-45.837
0.569,-0.530,-0.241,26.978,-161.316,-26.794
0.570,-0.513,-0.132,-25.208,-132.141,3.052
0.573,-0.536,0.100,-49.377,-115.112,17.517
0.577,-0.555,0.202,-75.867,-76.721,48.096
0.594,-0.562,0.347,-78.430,-56.458,63.782
0.597,-0.540,0.390,-69.580,-16.602,94.299
0.599,-0.437,0.395,-65.735,1.770,110.474
0.644,-0.391,0.374,-73.914,35.278,140.015
0.712,-0.337,0.318,-80.811,52.673,150.330
0.702,-0.309,0.290,-86.731,71.472,157.959
0.670,-0.282,0.275,-100.037,104.675,172.729
0.643,-0.244,0.299,-106.445,116.699,184.448
0.699,-0.197,0.280,-110.901,148.437,214.783
0.809,-0.038,0.144,-116.394,176.147,227.234
0.796,0.065,0.043,-143.250,246.338,246.704
0.638,0.238,-0.130,-159.546,275.391,253.540
0.565,0.295,-0.184,-171.753,295.288,256.409
0.534,0.457,-0.355,-166.077,317.383,246.033
0.477,0.581,-0.512,-150.879,327.332,231.506
0.371,0.695,-0.688,-142.761,345.459,183.533
0.169,0.777,-0.940,-152.039,349.304,154.724
0.079,0.739,-1.015,-153.992,332.825,100.037
-0.037,0.580,-1.212,-139.465,306.885,74.341
-0.066,0.492,-1.296,-96.436,238.586,42.786
-0.096,0.423,-1.387,-76.660,204.407,37.415
-0.126,0.462,-1.412,-54.871,130.249,25.024
-0.113,0.542,-1.456,-57.434,97.107,17.944
-0.058,0.533,-1.460,-69.885,75.500,11.230
-0.016,0.480,-1.438,-100.464,71.411,-4.150
-0.018,0.274,-1.337,-100.647,77.209,-13.062
-0.042,0.196,-1.301,-61.707,73.120,-24.292
-0.052,0.145,-1.268,-36.194,64.087,-23.926
-0.033,0.138,-1.275,-2.197,49.561,-18.250
0.002,0.125,-1.320,0.610,45.898,-15.198
-0.002,0.107,-1.312,-12.512,39.185,-7.446
-0.031,0.073,-1.250,-18.433,33.997,-3.540
-0.043,0.070,-1.215,-13.428,17.212,2.075
0.001,0.101,-1.146,-5.554,7.935,3.662
0.024,0.125,-1.118,1.343,1.648,3.967
0.036,0.141,-1.095,8.118,0.549,1.770
0.041,0.145,-1.071,9.399,3.845,0.732
0.040,0.142,-1.058,9.277,11.414,1.160
0.031,0.163,-1.036,8.118,13.733,1.770
0.026,0.178,-1.029,5.310,12.512,3.174
0.024,0.203,-1.014,3.784,9.216,3.845
0.029,0.209,-1.006,2.625,5.310,3.662
0.038,0.210,-0.999,2.380,0.000,1.282
0.053,0.206,-0.980,2.319,0.305,0.366
0.059,0.205,-0.972,0.183,5.554,-0.366
0.060,0.211,-0.974,-1.404,9.033,-0.916
0.052,0.219,-0.980,-6.714,13.428,-2.563
0.035,0.213,-0.997,-10.864,13.611,-3.113
0.030,0.198,-1.007,-17.517,11.414,-3.723
0.020,0.159,-1.025,-17.700,9.705,-3.540
0.018,0.146,-1.029,-15.686,7.751,-2.319
0.020,0.144,-1.031,-8.606,4.272,0.671
0.026,0.164,-1.023,-5.066,3.784,0.977
0.024,0.177,-1.019,-1.648,5.371,-0.061
0.019,0.188,-1.019,-2.258,6.470,-0.977
0.015,0.182,-1.017,-5.188,7.629,-3.479
0.003,0.161,-1.008,-5.737,7.202,-4.578
-0.001,0.155,-1.005,-4.517,3.296,-5.249
-0.001,0.153,-1.005,-3.662,0.366,-5.005
0.003,0.152,-1.005,-2.441,-3.113,-3.967
0.015,0.153,-0.997,-2.686,-2.441,-3.662
0.018,0.150,-0.985,-3.418,-0.732,-3.601
0.019,0.148,-0.975,-4.150,3.235,-3.845
0.017,0.142,-0.968,-3.784,4.333,-4.639
0.011,0.137,-0.968,-2.380,5.127,-5.859
0.000,0.136,-0.980,-2.380,4.639,-4.333
0.006,0.145,-0.987,-6.165,1.099,0.427
0.019,0.157,-0.984,-8.667,-0.427,0.732
0.019,0.157,-0.983,-9.033,0.671,-1.587
0.006,0.152,-0.989,-7.019,2.869,-2.808
-0.003,0.151,-0.995,-4.272,5.249,-3.906
-0.019,0.151,-1.003,-0.061,6.897,-5.371
-0.020,0.150,-1.002,0.183,5.310,-5.371
-0.014,0.144,-0.999,-2.625,1.099,-4.089
-0.001,0.125,-0.993,-3.845,0.244,-3.540
0.002,0.121,-0.992,-4.272,0.488,-2.747
0.003,0.119,-0.989,-3.723,0.488,-3.296
0.004,0.116,-0.988,-0.916,0.183,-4.761
0.011,0.117,-0.991,0.610,0.610,-4.944
0.011,0.117,-0.993,1.709,2.502,-4.395
0.010,0.115,-0.995,1.099,3.052,-3.540
0.014,0.118,-0.994,0.183,3.052,-2.319
0.014,0.126,-0.993,-1.404,2.869,-1.526
0.010,0.127,-0.993,-1.892,2.747,-2.014
0.004,0.128,-0.995,-1.648,2.380,-2.380
-0.003,0.129,-1.003,-1.099,1.709,-2.075
0.000,0.131,-1.006,-0.061,-0.854,-0.122
0.011,0.141,-1.004,0.000,-1.343,0.916
0.012,0.148,-1.002,-0.610,0.183,1.831
0.002,0.156,-1.003,-0.916,1.099,1.648
-0.004,0.156,-1.004,-0.977,1.221,0.977
-0.007,0.158,-1.006,-1.221,0.549,0.732
